N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
105,신풍제약,"65,600",700,-1.06%,500,"34,758","52,985",7.93,"683,109","1,093.33",1.72,
106,OCI,"142,000","4,000",-2.74%,"5,000","33,866","23,849",19.60,"297,611",116.97,-9.89,
107,SK케미칼,"288,000","9,500",-3.19%,"5,000","33,844","11,751",17.28,"174,042",36.59,30.49,
108,두산퓨얼셀,"50,500",600,-1.17%,100,"33,074","65,494",13.48,"549,657",841.67,4.18,
109,더존비즈온,"108,500","2,500",+2.36%,500,"32,920","30,341",41.49,"279,032",52.88,15.09,
110,에스원,"84,900",300,-0.35%,500,"32,261","37,999",53.92,"64,626",22.01,10.48,
111,효성티앤씨,"733,000","23,000",-3.04%,"5,000","31,722","4,328",23.14,"45,482",6.27,25.10,
112,한국항공우주,"32,450",900,+2.85%,"5,000","31,631","97,475",13.25,"1,558,355",160.64,6.39,
113,씨에스윈드,"74,300","1,100",-1.46%,500,"31,333","42,171",11.09,"338,103",52.70,8.19,
114,키움증권,"118,000","1,000",+0.85%,"5,000","30,939","26,220",24.38,"67,044",3.17,27.63,
115,대우조선해양,"28,800",550,-1.87%,"5,000","30,900","107,291",6.98,"465,139",-2.12,2.27,
116,포스코인터내셔널,"25,000",400,-1.57%,"5,000","30,844","123,375",10.15,"1,834,233",10.46,7.69,
117,롯데쇼핑,"108,000",0,0.00%,"5,000","30,552","28,289",10.36,"50,932",-5.28,-7.70,
118,CJ,"104,000","1,000",+0.97%,"5,000","30,344","29,177",17.69,"70,028",71.09,1.89,
119,BGF리테일,"175,000",500,+0.29%,"1,000","30,247","17,284",33.12,"26,279",21.55,18.60,
120,대우건설,"7,140",30,-0.42%,"5,000","29,675","415,623",11.75,"1,395,176",6.50,11.06,
121,현대오토에버,"108,000","1,000",-0.92%,500,"29,618","27,424",1.67,"48,188",38.96,11.09,
122,코오롱인더,"109,000","8,000",+7.92%,"5,000","29,407","26,979",21.25,"1,261,197",21.83,9.70,
123,동서,"29,250",600,-2.01%,500,"29,162","99,700",3.30,"175,820",26.98,8.61,
124,한샘,"123,000","1,500",+1.23%,"1,000","28,947","23,534",18.91,"321,851",34.81,10.83,
125,현대미포조선,"72,300","5,400",-6.95%,"5,000","28,878","39,942",10.97,"1,038,038",-15.89,-0.84,
126,만도,"60,900",500,-0.81%,"1,000","28,597","46,957",25.29,"295,148",12.06,0.37,
127,한화생명,"3,275",55,-1.65%,"5,000","28,444","868,530",7.56,"3,263,385",5.19,1.90,
128,휠라홀딩스,"46,300",750,-1.59%,"1,000","28,128","60,752",47.53,"332,962",11.67,10.94,
129,일진하이솔루스,"75,200","3,000",-3.84%,500,"27,308","36,313",4.59,"413,286",140.30,34.27,
130,DL이앤씨,"139,500","2,000",-1.41%,"5,000","27,005","19,359",26.68,"85,997",N/A,N/A,
131,신세계,"271,000",500,-0.18%,"5,000","26,680","9,845",27.85,"70,915",33.07,-2.81,
132,현대로템,"24,100",50,-0.21%,"5,000","26,303","109,142",5.06,"918,540",77.49,2.84,
133,한화,"35,050",250,-0.71%,"5,000","26,273","74,959",19.13,"332,760",6.74,4.79,
134,제일기획,"22,700",50,+0.22%,200,"26,114","115,041",33.19,"578,617",13.97,16.11,
135,LG화학우,"338,000","5,000",-1.46%,"5,000","25,988","7,689",68.80,"22,800",9.10,N/A,
136,BNK금융지주,"7,960",90,-1.12%,"5,000","25,944","325,935",39.42,"1,571,265",3.84,6.11,
137,효성,"123,000","1,500",-1.20%,"5,000","25,917","21,071",9.41,"57,535",16.79,-2.26,
138,한화에어로스페이스,"51,100",900,+1.79%,"5,000","25,872","50,630",19.34,"491,822",9.88,4.78,
139,DB하이텍,"57,600",900,+1.59%,"5,000","25,574","44,399",16.73,"523,389",15.31,23.07,
140,현대차우,"99,600","2,900",-2.83%,"5,000","24,259","24,357",59.14,"63,200",7.22,N/A,
141,하이트진로,"34,050",650,-1.87%,"5,000","23,880","70,134",4.71,"271,825",34.08,8.23,
142,롯데정밀화학,"91,100",200,-0.22%,"5,000","23,504","25,800",21.26,"407,275",9.58,12.65,
143,대한전선,"2,665",40,-1.48%,500,"22,825","856,473",1.75,"12,305,483",-140.26,0.92,
144,현대위아,"83,700",600,-0.71%,"5,000","22,762","27,195",8.59,"152,281",22.40,1.96,
145,TIGER 200,"41,105",90,+0.22%,0,"22,711","55,250",0.00,"628,998",N/A,N/A,
146,현대해상,"24,750",150,-0.60%,500,"22,126","89,400",27.24,"423,398",5.73,7.13,
147,LS,"67,400","1,100",-1.61%,"5,000","21,703","32,200",14.41,"109,628",8.74,3.94,
148,TIGER 차이나전기차SOLACTIVE,"17,790",15,-0.08%,0,"21,526","121,000",1.82,"8,655,254",N/A,N/A,
149,KODEX 단기채권,"102,920",0,0.00%,0,"21,078","20,480",0.00,"17,775",N/A,N/A,
150,KODEX 200선물인버스2X,"2,080",10,-0.48%,0,"20,806","1,000,300",4.63,"167,144,952",N/A,N/A,
151,대웅,"34,950",50,+0.14%,500,"20,321","58,142",3.86,"105,272",21.61,15.10,
152,LS ELECTRIC,"67,700","1,300",-1.88%,"5,000","20,310","30,000",17.90,"126,525",22.14,6.15,
153,영원무역,"45,150",50,-0.11%,500,"20,007","44,311",27.88,"93,339",10.68,8.03,
